Macro_Cluster,Frequency_items,Longevity_months,Recency_in_weeks,Flaged,Promotional_percentage,Beer,Bottled_Water,Bread,Meat,Dairy,Fresh_Foods,Frozen_Foods,Fruit_Beverages,Pastry,Sodas,Toiletries,Veggies,Wines,ZIP_Missing,ZIP_8,ZIP_0,ZIP_4,ZIP_Others,Relevance_Priority,Has_Returns,Education_Years,Total_Profit
-1,39.44166666666667,13.917391304347825,10.206521739130435,0.0,19.961597826086958,57.05434782608695,49.98731884057971,31.318840579710145,5.578260869565217,64.02608695652174,51.30869565217391,68.93079710144927,37.46123188405797,53.10108695652174,38.95471014492754,20.235507246376812,37.59021739130435,25.131884057971014,0.005072463768115942,0.3938405797101449,0.4318840579710145,0.16920289855072465,0.0,0.9304347826086956,0.01920289855072464,13.230434782608695,540.6789855072464
0,38.88875819190052,16.055900969024815,10.531059205735732,0.0,20.358508373942755,62.17896151907242,51.80485072536828,43.53761272615247,21.728056909202934,58.83179297597042,100.39309919901417,105.08769394499524,84.44171847868705,44.140032487537106,59.97871506189436,20.923262196829665,31.540861479863327,16.150394891614855,0.00016803898504453034,0.7076121660225172,0.2685823110961743,0.023637483896263932,0.0,0.8155492074161206,0.27093485688679775,12.25614742620288,700.7370525962023
1,38.85016120821314,9.966485660953674,11.938571186153062,0.0,11.833185134905822,45.024860003393854,44.569574070931615,29.666723230951977,0.36730018666214154,31.200492109282198,99.43331070761921,51.327575089088754,88.08391311725777,77.63812998472764,30.43127439334804,16.18852876293908,16.769896487357883,7.1298998812150005,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.263957237400305,537.8314780247752
2,37.20967741935484,15.217404636330185,11.103090886790138,0.0,10.853834171470623,45.16552189378143,44.82043419600147,20.803630565436034,0.5302342695940144,80.79608732981724,32.70397399730161,32.40874524714829,20.311235128173678,49.548080461179936,31.701336931190973,19.77180179075187,26.667361707346988,22.524653501778488,0.0,0.999938672881148,6.132711885195633e-05,0.0,0.0,1.0,0.0,13.279038390776401,427.75309701950204
3,38.02684045377745,17.699541395124307,11.147863866763215,0.0,8.468667632150616,73.87125271542361,73.61124788800386,28.70132754042964,0.5789524499155202,34.99932416123582,43.77335264301231,95.65407675597393,31.062997827661114,39.07762490948588,31.762587496982864,19.567945932898866,19.06613565049481,17.482693700217233,0.0,0.767270094134685,0.0004827419744146754,0.2322471638909003,0.0,0.8445570842384745,0.0,12.187110789283128,509.20951967173545
4,39.17868168769972,11.841195905324161,11.812760656448031,0.0,11.590879055408113,74.2982722201159,73.8724475978985,29.74294535015978,0.43384065428153606,29.904186751882143,50.17153225369658,102.30439256892163,38.757244218166065,29.886475654010724,30.67258842008341,19.5793208037697,16.50468504576721,15.905540811352434,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.329090613659751,512.0334723501056
5,38.00163265306122,14.031020408163265,11.279183673469388,0.0016326530612244899,12.10185306122449,57.47591836734694,56.74938775510204,27.84081632653061,1.177142857142857,45.353469387755105,61.799183673469386,69.16734693877551,49.23183673469388,50.25224489795919,32.13142857142857,19.14938775510204,21.573061224489795,15.30938775510204,1.0,0.0,0.0,0.0,0.0,0.9575510204081633,0.03510204081632653,13.231836734693877,507.21061224489796
6,41.6993620414673,16.27591706539075,9.014354066985646,1.0,0.0,90.1555023923445,71.47368421052632,61.10685805422648,72.207336523126,91.60207336523126,152.8803827751196,180.3178628389155,91.6738437001595,146.33652312599682,155.2799043062201,35.34130781499203,144.140350877193,24.124401913875598,0.007974481658692184,0.7998405103668261,0.13875598086124402,0.05342902711323764,0.0,0.21291866028708134,0.4043062200956938,12.0,1316.6400318979267
7,36.750992598402036,12.976324689966178,11.117592274888485,0.0,11.96630214205186,56.819910788686826,56.59340228420176,29.89211313170923,0.46674182638105977,31.187343757658937,76.63354737512867,65.95582569481888,64.7089358364786,72.19469633841479,31.830841625410518,17.10970050487721,18.264055683544925,10.86505563452772,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.214940444095877,532.5221704818391
8,41.160237388724035,15.44807121661721,11.192878338278932,0.04747774480712166,11.457448071216616,57.07121661721068,55.73590504451039,27.771513353115726,1.2106824925816024,44.71513353115727,64.64094955489614,70.17566765578636,47.98813056379822,49.14243323442137,36.21958456973294,16.038575667655785,25.287833827893174,15.872403560830861,0.0,0.0,0.0,0.0,1.0,0.9080118694362018,0.10682492581602374,12.792284866468842,511.8700296735905
9,39.01726053148765,10.769546270187131,11.846876869178843,0.0,11.274623600786125,45.026745278988294,44.52533538408955,20.754763735794242,0.37862086644450144,79.49448859266855,31.56848671280868,30.692010595573784,20.109715457574982,47.81004870546014,30.366487225497735,19.08895155088439,25.465094420234127,21.279330086302657,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.938733658036401,416.5600786123216
